libelle_fr,libelle_ar,year,value,city,base_year
Enseignement supérieur,التعليم العالي,2020,101.9,fes,2017
Indice général,الرقم الإستدلالي العام,2020,102.2,al_hoceima,2017
Forfaits touristiques,الواجبات السياحية الجزافية,2016,180.7,beni_mellal,2006
Loyers effectifs,الكراء الفعلي,2018,100.3,casablanca,2017
Articles d'habillement,الملابس,2020,108.9,al_hoceima,2017
"Journaux, livres et articles de papeterie",الصحف والكتب والمواد الورقية,2019,100.7,fes,2017
Services hospitaliers,الخدمات الإستشفائية,2019,100.0,beni_mellal,2017
Articles d'habillement et chaussures,الملابس والأحذية,2021,106.3,kenitra,2017
Outillage et autre matériel pour la maison et le jardin,الأدوات والمعدات الأخرى للمنزل والحديقة,2020,102.7,kenitra,2017
"Produits, appareils et matériels médicaux",مواد وأجهزة ومعدات طبية,2020,97.9,kenitra,2017
Soins corporels,العناية بالجسد,2019,101.8,kenitra,2017
Autres services,خدمات أخرى,2021,104.5,kenitra,2017
Indice général,الرقم الإستدلالي العام,2020,101.6,kenitra,2017
Variation (en %),نسبة التغـيـر (%),2020,0.0,kenitra,2017
Articles de ménage en textiles,مواد منزلية من النسيج,2021,99.2,errachidia,2017
"Electricité, gaz et autres combustibles",الكهرباء والغاز ومحروقات أخرى,2018,100.0,agadir,2017
Appareils ménagers,الأجهزة المنزلية,2017,94.0,meknes,2006
Achat de véhicules,شراء العربات,2017,101.0,tanger,2006
Matériel de téléphonie et de télécopie,معدات الهاتف والفاكس,2017,76.4,agadir,2006
Enseignement,التعليم,2020,102.6,errachidia,2017
"Produits, appareils et matériels médicaux",مواد وأجهزة ومعدات طبية,2020,98.2,dakhla,2017
Enseignement,التعليم,2019,107.0,agadir,2017
Tabac,التبغ,2016,121.8,tetouan,2006
Services de restauration,خدمات المطاعم,2017,144.2,meknes,2006
Biens et services liés à l'entretien courant du foyer,مواد وخدمات متعلقة بالصيانة المنزلية,2018,124.8,marrakech,2006
Produits alimentaires et boissons non alcoolisées,المواد الغذائية والمشروبات غير الكحولية,2016,124.5,guelmim,2006
Alimentation en eau et services divers liés au logement,التزويد بالماء وخدمات مختلفة متعلقة بالسكن,2018,100.0,dakhla,2017
Produits alimentaires,المواد الغذائية,2016,129.8,tanger,2006
"Produits, appareils et matériels médicaux",مواد وأجهزة ومعدات طبية,2020,98.4,al_hoceima,2017
Biens et services divers,مواد وخدمات اخرى,2016,115.3,tetouan,2006
Produits alimentaires et boissons non alcoolisées,المواد الغذائية والمشروبات غير الكحولية,2018,127.9,fes,2006
Soins corporels,العناية بالجسد,2016,122.5,fes,2006
Enseignement non défini par niveau,التعليم غير المحدد بالمستوى,2018,100.0,beni_mellal,2006
Variation (en %),نسبة التغـيـر (%),2017,1.0,beni_mellal,2006
Alimentation en eau et services divers liés au logement,التزويد بالماء وخدمات مختلفة متعلقة بالسكن,2016,131.2,dakhla,2006
Services récréatifs et culturels,خدمات الترفيه والثقافة,2016,104.4,dakhla,2006
Boissons non alcoolisées,المشروبات غير الكحولية,2019,101.5,beni_mellal,2017
Autres services,خدمات أخرى,2017,100.0,tetouan,2006
Assurance,التأمين,2018,99.5,rabat,2006
Services de restauration,خدمات المطاعم,2020,111.9,dakhla,2017
Autres services,خدمات أخرى,2017,100.0,casablanca,2006
"Meubles, articles de ménage et entretien courant du foyer",الأثاث والأدوات المنزلية والصيانة العادية للمنزل,2017,111.2,rabat,2006
Soins corporels,العناية بالجسد,2018,114.8,rabat,2006
Matériel de téléphonie et de télécopie,معدات الهاتف والفاكس,2016,100.0,oujda,2006
Articles d'habillement,الملابس,2020,96.7,agadir,2017
"Meubles, articles de ménage et entretien courant du foyer",الأثاث والأدوات المنزلية والصيانة العادية للمنزل,2018,106.6,settat,2006
Articles d'habillement et chaussures,الملابس والأحذية,2018,109.1,meknes,2006
Dépenses d'utilisation des véhicules,نفقات استعمال العربات,2018,123.7,casablanca,2006
Indice général,الرقم الإستدلالي العام,2016,119.5,casablanca,2006
Forfaits touristiques,الواجبات السياحية الجزافية,2017,180.7,beni_mellal,2006
Dépenses d'utilisation des véhicules,نفقات استعمال العربات,2016,116.1,dakhla,2006
Enseignement secondaire,التعليم الثانوي,2018,169.7,tanger,2006
Soins corporels,العناية بالجسد,2017,114.3,rabat,2006
Santé,الصحة,2017,102.2,meknes,2006
Autres services,خدمات أخرى,2017,100.0,kenitra,2006
"Meubles, articles de ménage et entretien courant du foyer",الأثاث والأدوات المنزلية والصيانة العادية للمنزل,2016,106.6,casablanca,2006
Enseignement postsecondaire non supérieur,التعليم ما بعد المرحلة الثانوية غير العالي,2017,100.0,beni_mellal,2006
Produits alimentaires et boissons non alcoolisées,المواد الغذائية والمشروبات غير الكحولية,2019,100.7,rabat,2017
Boissons alcoolisées,المشروبات الكحولية,2020,96.1,rabat,2017
Services de téléphonie et de télécopie,خدمات الهاتف والفاكس,2019,107.7,rabat,2017
Loisirs et culture,الترفيه والثقافة,2021,100.7,rabat,2017
Services récréatifs et culturels,خدمات الترفيه والثقافة,2020,104.3,rabat,2017
Autres services,خدمات أخرى,2018,104.0,oujda,2017
Outillage et autre matériel pour la maison et le jardin,الأدوات والمعدات الأخرى للمنزل والحديقة,2020,102.2,meknes,2017
Services de transport,خدمات النقل,2021,131.1,meknes,2017
Services financiers,الخدمات المالية,2021,100.0,guelmim,2017
Services d'hébergement,خدمات الإيواء,2019,101.9,errachidia,2017
"Verrerie, vaisselle et ustensiles de ménage",مواد زجاجية، أواني وأدوات منزلية,2019,100.1,dakhla,2017
Assurance,التأمين,2019,100.0,beni_mellal,2017
Tabac,التبغ,2020,122.1,fes,2017
Loisirs et culture,الترفيه والثقافة,2020,97.0,guelmim,2017
Enseignement postsecondaire non supérieur,التعليم ما بعد المرحلة الثانوية غير العالي,2021,109.1,casablanca,2017
Autres services,خدمات أخرى,2016,100.0,marrakech,2006
"Verrerie, vaisselle et ustensiles de ménage",مواد زجاجية، أواني وأدوات منزلية,2016,112.2,guelmim,2006
Boissons alcoolisées et tabac,المشروبات الكحولية و التبغ,2019,120.5,al_hoceima,2017
Produits alimentaires,المواد الغذائية,2021,104.2,agadir,2017
Services récréatifs et culturels,خدمات الترفيه والثقافة,2019,111.1,agadir,2017
Enseignement secondaire,التعليم الثانوي,2018,141.9,safi,2006
"Autres articles et matériel de loisirs, de jardinageet animaux de compagnie",مواد ومعدات أخرى للترفيه والبستنةوالحيوانات الأليفة,2018,103.7,rabat,2006
Soins corporels,العناية بالجسد,2017,145.7,oujda,2006
Enseignement postsecondaire non supérieur,التعليم ما بعد المرحلة الثانوية غير العالي,2018,100.0,tetouan,2006
"Meubles, articles d'ameublement, tapis et autres revetements de sol",الأثاث ومواد التأثيث والزرابي وأفرشة أرضية أخرى,2016,116.2,oujda,2006
Dépenses d'utilisation des véhicules,نفقات استعمال العربات,2017,115.8,al_hoceima,2006
Services récréatifs et culturels,خدمات الترفيه والثقافة,2018,100.0,beni_mellal,2017
Services de transport,خدمات النقل,2016,113.9,rabat,2006
Indice général,الرقم الإستدلالي العام,2016,115.4,agadir,2006
Indice général,الرقم الإستدلالي العام,2021,103.8,agadir,2017
Forfaits touristiques,الواجبات السياحية الجزافية,2018,111.6,tanger,2006
Boissons alcoolisées et tabac,المشروبات الكحولية و التبغ,2020,121.4,al_hoceima,2017
"Meubles, articles d'ameublement, tapis et autres revetements de sol",الأثاث ومواد التأثيث والزرابي وأفرشة أرضية أخرى,2017,142.1,tetouan,2006
"Meubles, articles de ménage et entretien courant du foyer",الأثاث والأدوات المنزلية والصيانة العادية للمنزل,2017,107.7,settat,2006
Transport,النقل,2018,106.7,safi,2006
Communications,المواصلات,2016,55.5,oujda,2006
Services ambulatoires,الخدمات الإسعافية,2017,118.2,oujda,2006
Produits alimentaires et boissons non alcoolisées,المواد الغذائية والمشروبات غير الكحولية,2019,101.5,agadir,2017
Achat de véhicules,شراء العربات,2018,101.5,guelmim,2017
Autres biens durables à fonction  récréative et culturelle,مواد أخرى مستدامة ذات وظيفة إبداعية وثقافية,2019,106.9,fes,2017
Entretien et réparation des logements,صيانة وإصلاح المساكن,2019,112.6,dakhla,2017
Assurance,التأمين,2019,99.2,al_hoceima,2017
Enseignement secondaire,التعليم الثانوي,2021,109.0,agadir,2017
Variation (en %),نسبة التغـيـر (%),2016,1.0,safi,2006
Boissons non alcoolisées,المشروبات غير الكحولية,2018,126.8,rabat,2006
"Electricité, gaz et autres combustibles",الكهرباء والغاز ومحروقات أخرى,2017,110.9,meknes,2006
Effets personnels non classés ailleurs,أدوات شخصية غير مصنفة في مكان آخر,2021,108.2,guelmim,2017
Entretien et réparation des logements,صيانة وإصلاح المساكن,2018,117.3,tanger,2006
"Autres articles et matériel de loisirs, de jardinageet animaux de compagnie",مواد ومعدات أخرى للترفيه والبستنةوالحيوانات الأليفة,2018,101.1,agadir,2017
Forfaits touristiques,الواجبات السياحية الجزافية,2018,138.3,tetouan,2006
Enseignement,التعليم,2016,137.5,tanger,2006
Articles d'habillement,الملابس,2020,108.5,marrakech,2017
Articles de ménage en textiles,مواد منزلية من النسيج,2021,112.5,marrakech,2017
Articles d'habillement et chaussures,الملابس والأحذية,2019,99.1,agadir,2017
Enseignement,التعليم,2018,102.4,errachidia,2017
Santé,الصحة,2016,101.5,tanger,2006
Assurance,التأمين,2019,99.3,dakhla,2017
Boissons alcoolisées et tabac,المشروبات الكحولية و التبغ,2019,120.5,marrakech,2017
Services de transport,خدمات النقل,2021,115.9,agadir,2017
Services hospitaliers,الخدمات الإستشفائية,2016,114.5,settat,2006
Entretien et réparation des logements,صيانة وإصلاح المساكن,2016,103.4,safi,2006
Biens et services divers,مواد وخدمات اخرى,2020,105.6,guelmim,2017
"Verrerie, vaisselle et ustensiles de ménage",مواد زجاجية، أواني وأدوات منزلية,2019,101.1,guelmim,2017
Boissons alcoolisées,المشروبات الكحولية,2016,135.8,safi,2006
Boissons non alcoolisées,المشروبات غير الكحولية,2017,139.6,settat,2006
Boissons alcoolisées,المشروبات الكحولية,2021,117.6,guelmim,2017
Appareils ménagers,الأجهزة المنزلية,2017,89.9,beni_mellal,2006
Articles de ménage en textiles,مواد منزلية من النسيج,2018,99.5,tanger,2006
Services hospitaliers,الخدمات الإستشفائية,2018,118.2,tetouan,2006
Produits alimentaires et boissons non alcoolisées,المواد الغذائية والمشروبات غير الكحولية,2018,102.8,agadir,2017
"Electricité, gaz et autres combustibles",الكهرباء والغاز ومحروقات أخرى,2017,116.0,tanger,2006
Services de téléphonie et de télécopie,خدمات الهاتف والفاكس,2020,105.8,casablanca,2017
Loyers effectifs,الكراء الفعلي,2021,102.8,agadir,2017
Effets personnels non classés ailleurs,أدوات شخصية غير مصنفة في مكان آخر,2018,115.4,tanger,2006
Enseignement supérieur,التعليم العالي,2016,116.7,tanger,2006
Articles d'habillement et chaussures,الملابس والأحذية,2018,106.9,settat,2006
Appareils ménagers,الأجهزة المنزلية,2016,95.5,settat,2006
Autres biens durables à fonction  récréative et culturelle,مواد أخرى مستدامة ذات وظيفة إبداعية وثقافية,2020,118.1,fes,2017
Matériel de téléphonie et de télécopie,معدات الهاتف والفاكس,2018,100.1,beni_mellal,2017
Services d'hébergement,خدمات الإيواء,2019,99.4,al_hoceima,2017
Santé,الصحة,2016,101.4,rabat,2006
Transport,النقل,2018,102.0,kenitra,2017
Loisirs et culture,الترفيه والثقافة,2021,100.4,errachidia,2017
"Meubles, articles de ménage et entretien courant du foyer",الأثاث والأدوات المنزلية والصيانة العادية للمنزل,2019,101.7,agadir,2017
Services d'hébergement,خدمات الإيواء,2017,112.2,tetouan,2006
Enseignement postsecondaire non supérieur,التعليم ما بعد المرحلة الثانوية غير العالي,2017,100.0,oujda,2006
Boissons alcoolisées,المشروبات الكحولية,2016,154.0,meknes,2006
Dépenses d'utilisation des véhicules,نفقات استعمال العربات,2018,123.0,meknes,2006
Articles d'habillement et chaussures,الملابس والأحذية,2016,107.0,guelmim,2006
Forfaits touristiques,الواجبات السياحية الجزافية,2016,100.0,guelmim,2006
Services hospitaliers,الخدمات الإستشفائية,2017,100.6,dakhla,2006
Autres services,خدمات أخرى,2018,121.7,guelmim,2006
Effets personnels non classés ailleurs,أدوات شخصية غير مصنفة في مكان آخر,2017,112.9,agadir,2006
"Autres articles et matériel de loisirs, de jardinageet animaux de compagnie",مواد ومعدات أخرى للترفيه والبستنةوالحيوانات الأليفة,2017,104.5,al_hoceima,2006
"Journaux, livres et articles de papeterie",الصحف والكتب والمواد الورقية,2021,101.4,guelmim,2017
Matériel de téléphonie et de télécopie,معدات الهاتف والفاكس,2018,100.0,dakhla,2017
Soins corporels,العناية بالجسد,2019,101.8,dakhla,2017
Matériel de téléphonie et de télécopie,معدات الهاتف والفاكس,2020,86.8,al_hoceima,2017
Forfaits touristiques,الواجبات السياحية الجزافية,2016,100.0,safi,2006
Services de transport,خدمات النقل,2017,123.7,meknes,2006
Tabac,التبغ,2021,126.5,marrakech,2017
Tabac,التبغ,2020,122.1,marrakech,2017
Loyers effectifs,الكراء الفعلي,2021,108.0,marrakech,2017
"Meubles, articles de ménage et entretien courant du foyer",الأثاث والأدوات المنزلية والصيانة العادية للمنزل,2021,104.8,marrakech,2017
"Verrerie, vaisselle et ustensiles de ménage",مواد زجاجية، أواني وأدوات منزلية,2021,113.8,marrakech,2017
Santé,الصحة,2018,99.7,marrakech,2017
Services de téléphonie et de télécopie,خدمات الهاتف والفاكس,2019,103.4,marrakech,2017
"Matériel audiovisuel, photographique et de traitementde l'information",المعدات السمعية البصرية والفوتوغرافية ومعدات معالجةالمعلومات,2019,99.5,marrakech,2017
Forfaits touristiques,الواجبات السياحية الجزافية,2018,100.4,marrakech,2017
Enseignement préélémentaire et primaire,التعليم ما قبل الإبتدائي والإبتدائي,2019,105.4,marrakech,2017
Restaurants et hôtels,مطاعم وفنادق,2019,103.7,marrakech,2017
Boissons alcoolisées et tabac,المشروبات الكحولية و التبغ,2018,135.9,fes,2006
Services hospitaliers,الخدمات الإستشفائية,2018,100.0,kenitra,2017
Boissons alcoolisées,المشروبات الكحولية,2019,104.2,guelmim,2017
"Journaux, livres et articles de papeterie",الصحف والكتب والمواد الورقية,2018,100.2,guelmim,2017
Alimentation en eau et services divers liés au logement,التزويد بالماء وخدمات مختلفة متعلقة بالسكن,2017,113.8,settat,2006
Enseignement postsecondaire non supérieur,التعليم ما بعد المرحلة الثانوية غير العالي,2018,102.5,fes,2017
Services de restauration,خدمات المطاعم,2018,100.0,guelmim,2017
Transport,النقل,2018,113.3,al_hoceima,2006
Indice général,الرقم الإستدلالي العام,2017,117.0,settat,2006
Biens et services divers,مواد وخدمات اخرى,2021,101.9,al_hoceima,2017
Restaurants et hôtels,مطاعم وفنادق,2017,138.8,al_hoceima,2006
Biens et services liés à l'entretien courant du foyer,مواد وخدمات متعلقة بالصيانة المنزلية,2019,102.9,kenitra,2017
Enseignement supérieur,التعليم العالي,2019,100.0,kenitra,2017
